Scope,Class
 Overhaul described as TO HP WARM FLARE PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/SEP  /TO-PSV-20184,Pressure Safety Device
 Machinery space Stringer No. 3/GVI described as Machinery space Stringer No. 3 located at PAZ/FPSOH/HSG/STRUC/ MACH SPACE-NO3 STR,FU Items
 PAZ Gas Cylinders & Accumulators Campaig described as PAZ-GAS CYLINDERS & ACCUMULATORS located at PAZ/FPSOT/CRS/SAFE /GC-ACC,Campaign
 BV tasks & intrusive major inspection described as PORT CENTRAL BALLAST 1P located at PAZ/FPSOH/HSG/STRUC/HU-T_-8609A,FU Items
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/OIL/SEP  /IPN-_HG-TO20-03-D03,Piping
 SCD + VIE described as Hydraulic fluid piping group located at PAZ/BUOY /CRS/AIR  /IPN-_HH-OB07-01-H49,Piping
 SCD + VIE described as Hydraulic fluid piping group located at PAZ/BUOY /CRS/AIR  /IPN-_HH-OB07-02-D49,Piping
 NDT + VIE  described as Produced water piping group located at PAZ/FPSOH/OIL/OWAT /IPN-_PW-HU27-06-B03,Piping
 VIE described as Service air piping group located at PAZ/FPSOT/CRS/AIR  /IPN-_SA-TO07-01-B10,Piping
 SCD + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/GAS/FLARE/IPN-_HL-TO36-05-B49,Piping
 PAZ-FLOR_X-RAY YEARLY CAMPAIGN described as PAZFLOR Topsides located at PAZ/FPSOT,Campaign
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-15-D03,Piping
 MACH SPACE TANK TOP/GVI described as Machinery space Tank top located at PAZ/FPSOH/HSG/STRUC/ MACH SPACE-TANK TOP,FU Items
 VISUAL INSPECT L1 BALCONY COMPLETE _STR described as STRUCTURE OF BALCONIES L1 located at PAZ/FPSOH/HSG/STRUC/BALCONIES L1,Structure
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/SEP  /IPC-_HL-TO20-04-D03,Piping
 UTC + VIE described as Desalinated water piping group located at PAZ/FPSOT/WAT/WDEOX/IPN -_RW-TO53-01-B03,Piping
 Visual inspection of tertiary structure described as R5 Structural Module located at PAZ/FPSOT/HSG/STRUC/R5,Structure
 Visual inspection of tertiary structure described as R7 Structural Module located at PAZ/FPSOT/HSG/STRUC/R7,Structure
 VIE described as Closed drain piping group located at PAZ/FPSOT/OIL/DRAIN/IPC-_CD-TO28-01-F49,Piping
 PAZ/BOUY-DECK/TEPA GVI described as DECK FOR OFFLOADING BUOY located at PAZ/BUOY /HSG/STRUC/DECK,FU Items
 COR - WB6P - CP Measurement described as PORT WING BALLAST 6P located at PAZ/FPSOH/HSG/STRUC/HU-T_-8611F,Corrosion Monitoring
 Overhaul described as FROM UM GAS MANI PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/SEP  /TO-PSV3-20330,Pressure Safety Device
 UTC + VIE described as Produced water piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_PW-TO27-24-D03,Piping
 UTC + VIE described as Lube oil piping group located at PAZ/FPSOH/COF/HTOIL/IPN-_LO-HU73-02-_06,Piping
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/STAB /IPC-_HL-TO21-01-D03,Piping
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-14-B03,Piping
 Overhaul described as DEGASSING DRUM PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/OWAT /TO-PSV1-27023,Pressure Safety Device
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STORE/IPN-_HL-HU24-21-B03,Piping
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-06-H49P,Piping
 Overhaul described as S.W INLET PRESSURE SAFETY VALVE 1 located at PAZ/FPSOH/COF/COOLW/HU-PSV1-76105,Pressure Safety Device
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STAB /IPN-_HL-HU21-06-B03,Piping
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/OWAT /IPN-_HL-HU27-05-B06,Piping
 Visual inspection of tertiary structure described as P7 Structural Module located at PAZ/FPSOT/HSG/STRUC/P7,Structure
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-08-D03,Piping
 Replace/Scrap described as GLYCOL REBOILER PRESSURE SAFETY VALVE located at PAZ/FPSOT/GAS/DEHYD/TO-PSV-300515,Pressure Safety Device
 Replace/Scrap described as GLYC MAKE-UP FACILITIE PRES SAFETY VALVE located at PAZ/FPSOT/GAS/DEHYD/TO-PSV-300512,Pressure Safety Device
 Overhaul described as CRUDE OIL METERING PRESS.SAFETY VALVE located at PAZ/FPSOT/OIL/METER/TO-PSV-26015,Pressure Safety Device
 Overhaul described as DEGASSING DRUM PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/OWAT /TO-PSV3-27023,Pressure Safety Device
 UTC + VIE described as Produced water piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_PW-TO27-01-D03,Piping
 VIE described as GLYCOL FLASH DRUM FILTERS UNIT B located at PAZ/FPSOT/GAS/DEHYD/TO-VF-3003B,Pressure Vessel (VIE)
 COR - WBC2P - CP Measurement described as PORT CENTRAL BALLAST 2P located at PAZ/FPSOH/HSG/STRUC/HU-T_-8609B,Corrosion Monitoring
 COR - WBC2S - CP Measurement described as STARBOARD CENTRAL BALLAST 2S located at PAZ/FPSOH/HSG/STRUC/HU-T_-8610B,Corrosion Monitoring
 Overhaul described as FLOW LOOP FLW2 PRESSURE SAFETY VALVE 1 located at PAZ/FPSOT/OIL/SDS  /TO-PSV1-29017,Pressure Safety Device
 Scrap/replace described as AIR START PRESSURE SAFETY VALVE located at PAZ/FPSOH/CRS/FWAT /HU-PSV-016072D,Pressure Safety Device
 Scrap/replace described as START PUMP PRESSURE SAFETY VALVE located at PAZ/FPSOH/CRS/FWAT /HU-PSV-016085D,Pressure Safety Device
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/GAS/FLARE/IPN-_HL-TO36-01-B49,Piping
 BUOY CHAFFING CHAIN SB/WEAR MEASUR described as SB MOORING BUOY SIDE located at PAZ/BUOY /OIL/LOAD /SB MOORING BUOY,FU Items
 BUOY CHAFFING CHAIN PS/WEAR MEASUR described as PS MOORING BUOY SIDE located at PAZ/BUOY /OIL/LOAD /PS MOORING BUOY,FU Items
 MACH SPACE LEVEL2/GVI described as Machinery space level -2 located at PAZ/FPSOH/HSG/STRUC/ MACH SPACE-LEVEL 2,FU Items
 Overhaul described as PRESSURE SAFETY VALVE 2 located at PAZ/FPSOT/GAS/COMP /TO-PSV2-31111,Pressure Safety Device
 Visual inspection of tertiary structure described as R9 Structural Module located at PAZ/FPSOT/HSG/STRUC/R9,Structure
 BV tasks & external inspection described as HULL SIDE TREATED DIESEL SERVICE TANK located at PAZ/FPSOH/COF/FO   /HU-T_-7104A,FU Items
 VIE described as Sea water piping group located at PAZ/FPSOT/WAT/WDEOX/IPN-_SW-TO53-08-D49,Piping
 Visual inspection of tertiary structure described as S6 Structural Module located at PAZ/FPSOT/HSG/STRUC/S6,Structure
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/LOAD /IPN-_HL-TO25-07-B01,Piping
 VII described as CRUDE INLET HEATER A located at PAZ/FPSOT/OIL/SEP  /TO-ES-2011A,Pressure Vessel (VII)
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPN-_HG-TO31-17-L23N,Piping
 PAZ - Buoy Hull GVI described as HULL FOR OFFLOADING BUOY located at PAZ/BUOY /HSG/STRUC/HULL,FU Items
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/IWELL/IPN-_HG-TO37-01-J21N,Piping
 Visual inspection of tertiary structure described as S8 Structural Module located at PAZ/FPSOT/HSG/STRUC/S8,Structure
 Visual inspection of tertiary structure described as P2 Structural Module located at PAZ/FPSOT/HSG/STRUC/P2,Structure
 Visual inspection of tertiary structure described as P3 Structural Module located at PAZ/FPSOT/HSG/STRUC/P3,Structure
 VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/STAB /IPN-_HC-TO21-01-B03,Piping
 VIE described as Cooling water piping group located at PAZ/FPSOT/COF/COOLW/IPN-_CW-TO76-06-B01,Piping
 VIE described as Cooling water piping group located at PAZ/FPSOT/COF/COOLW/IPN-_CW-TO76-07-B01,Piping
 VIE described as Cooling water piping group located at PAZ/FPSOT/COF/COOLW/IPN-_CW-TO76-08-B01,Piping
 VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/SEP  /IPN-_HC-TO20-01-D03,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/SDS  /IPN-_HL-HU29-01-B03,Piping
 Overhaul described as TO LP FLARE PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/STAB /TO-PSV1-21044B,Pressure Safety Device
 Replace/Scrap described as DAMPER SEALING AIR RESERVOIR PSV located at PAZ/FPSOT/ELE/PWG  /TO-PSV-720513E,Pressure Safety Device
 Overhaul described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/STAB /TO-PSV-21015A1,Pressure Safety Device
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/IWELL/IPN-_HG-TO37-02-J21N,Piping
 Overhaul described as PIG TRAP PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/SEP  /TO-PSV-20057,Pressure Safety Device
 Overhaul described as WATER MIST CABINET PRESS SAFETY VALVE A located at PAZ/FPSOH/CRS/FWAT /HU-PSV-016133A,Pressure Safety Device
 Overhaul described as WATER MIST CABINET PRESS SAFETY VALVE B located at PAZ/FPSOH/CRS/FWAT /HU-PSV-016133B,Pressure Safety Device
 Overhaul described as WATER MIST CABINET PRESS SAFETY VALVE C located at PAZ/FPSOH/CRS/FWAT /HU-PSV-016133C,Pressure Safety Device
 Overhaul described as WATER MIST CABINET PRESS SAFETY VALVE D located at PAZ/FPSOH/CRS/FWAT /HU-PSV-016133D,Pressure Safety Device
 SCD + VIE described as Fuel gas piping group located at PAZ/FPSOT/COF/FG   /IPN-_FG-TO70-11-F49,Piping
 VII described as HULL C.W EXP DRUM located at PAZ/FPSOH/COF/COOLW/HU-V_-7605,Pressure Vessel (VII)
 Overhaul described as OUTLET WATER THERMAL SAFETY VALVE B located at PAZ/FPSOT/GAS/COMP /TO-TSV-31414B,Pressure Safety Device
 Replace/Scrap described as INERT GAS GENERATOR SKID DRUM B PSV located at PAZ/FPSOT/COF/INERT/TO-PSV-740505B,Pressure Safety Device
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPN-_HG-TO31-01-B03,Piping
 Overhaul described as BALLAST PRESSURE SAFETY VALVE B located at PAZ/FPSOH/HSG/STRUC/HU-PSV-86002B,Pressure Safety Device
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/LOAD /IPN-_HL-HU25-01-B01,Piping
 Overhaul described as MANIFOLD PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/CHEM /TO-PSV1-75104C,Pressure Safety Device
 VIE described as Hot water piping group located at PAZ/FPSOT/COF/HEATL/IPN-_HW-TO72-02-D01C,Piping
 SCD + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/GAS/FLARE/IPN-_HL-TO36-03-D70,Piping
 Intrusive Major Inspection described as FUEL DAY TANK located at PAZ/FPSOH/CRS/FWAT /HU-TA-0101A,Non Structural Tank
 Intrusive Major Inspection described as FUEL DAY TANK located at PAZ/FPSOH/CRS/FWAT /HU-TA-0101B,Non Structural Tank
 Intrusive Major Inspection described as FUEL DAY TANK located at PAZ/FPSOH/CRS/FWAT /HU-TA-0101C,Non Structural Tank
 VIE described as CRUDE-OIL HEATER A1 located at PAZ/FPSOT/OIL/STAB /TO-ES-2112A1,Pressure Vessel (VIE)
 UTC + VIE described as Tank measuring piping group located at PAZ/FPSOH/OIL/DRAIN/IPN-_TM-HU28-01-_03,Piping
 Overhaul described as PRESSURE SAFETY VALVE located at PAZ/FPSOH/OIL/OWAT /HU-PSV-279404A,Pressure Safety Device
 UTC + VIE described as Hot water piping group located at PAZ/FPSOT/COF/HEATL/IPN-_HW-TO72-03-D01,Piping
 VII described as TOPSIDE INSTRUMENT AIR RECEIVER located at PAZ/FPSOT/CRS/AIR  /TO-VA-0704,Pressure Vessel (VII)
 VIE described as Tank measuring piping group located at PAZ/FPSOH/COF/CHEM /IPN-_TM-HU75-01-_03,Piping
 UTC + VIE described as Tank measuring piping group located at PAZ/FPSOH/OIL/STAB /IPN-_TM-HU21-03-_03,Piping
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/OIL/SEP  /IPN-_HG-TO20-05-B03,Piping
 Overhaul described as TO HP WARM FLARE PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/SEP  /TO-PSV-20182,Pressure Safety Device
 MACH SPACE LEVEL3/GVI described as Machinery space level -3 located at PAZ/FPSOH/HSG/STRUC/ MACH SPACE-LEVEL 3,FU Items
 UTC + VIE described as Inert gas piping group located at PAZ/FPSOT/CRS/FWAT /IPN-_IR-TO01-01-F03,Piping
 VIE described as STRIPPING COLUMN located at PAZ/FPSOT/GAS/DEHYD/TO-VC-3004,Pressure Vessel (VIE)
 SCD + VIE described as Fuel gas piping group located at PAZ/FPSOT/COF/FG   /IPN-_FG-TO70-06-D49,Piping
 SCD + VIE described as Fuel gas piping group located at PAZ/FPSOT/COF/FG   /IPC-_FG-TO70-08-D49,Piping
 Scrap/Replace described as D.E. PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/STAB /TO-PSV-210546B1,Pressure Safety Device
 Scrap/Replace described as N.D.E. PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/STAB /TO-PSV-210545B1,Pressure Safety Device
 Replace/Scrap described as D.E. PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/STAB /TO-PSV-210546B2,Pressure Safety Device
 UTC + VIE described as Hydrocarbon G/L piping group located at PAZ/FPSOT/OIL/TRANS/IPN-_HC-TO23-07-J03,Piping
 Overhaul described as OUTLET PRESSURE SAFETY VALVE A located at PAZ/FPSOT/COF/CHEM /TO-PSV-75064A,Pressure Safety Device
 Overhaul described as 2ND STAGE OUTLET PRESSURE SAFETY VALVE 2 located at PAZ/FPSOT/GAS/COMP /TO-PSV2-31229,Pressure Safety Device
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/OIL/STAB /IPN-_HG-TO21-01-D03,Piping
 Overhaul described as OUTLET TO BUFFER DRUMS PSV located at PAZ/FPSOT/COF/CHEM /TO-PSV-75033A,Pressure Safety Device
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/STORE/IPN-_HL-TO24-01-B03,Piping
 Visual inspection of tertiary structure described as TELECOM MAST located at PAZ/FPSOA/HSG/STRUC/TELECOM_MAST,Structure
 BV tasks & intrusive major inspection described as BILGE WATER TANK located at PAZ/FPSOH/OIL/OWAT /HU-TZ-2726A,FU Items
 BV tasks & intrusive major inspection described as DIRTY OIL TANK located at PAZ/FPSOH/OIL/OWAT /HU-TZ-2727A,FU Items
 Overhaul described as OUTLET TO DRUMS PSV located at PAZ/FPSOT/COF/CHEM /TO-PSV-75073C,Pressure Safety Device
 VIE described as Produced water piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_PW-TO27-08-B03,Piping
 BV tasks & external inspection described as OVERFLOW TANK located at PAZ/FPSOH/COF/FO   /HU-T_-7102,FU Items
 BV tasks & intrusive major inspection described as AHU CONDENSING WATER COLLECTING TANK located at PAZ/FPSOH/HSG/ACCOM/HU-TZ-8251,FU Items
 BV tasks & intrusive major inspection described as SEWAGE RETENTION TANK located at PAZ/FPSOH/HSG/ACCOM/HU-TZ-8231,FU Items
 BV tasks & external inspection described as FRESH WATER STORAGE TANK located at PAZ/FPSOH/HSG/UPWAT/HU-TA-8513A,FU Items
 BV tasks & intrusive major inspection described as DIRTY OIL TANK located at PAZ/FPSOH/OIL/OWAT /HU-TZ-2727B,FU Items
 BV tasks & intrusive major inspection described as SLUDGE TANK located at PAZ/FPSOH/OIL/OWAT /HU-T_-2721A,FU Items
 BV tasks & intrusive major inspection described as SLUDGE TANK located at PAZ/FPSOH/OIL/OWAT /HU-T_-2721B,FU Items
 Non-Intrusive Intermediate Inspection described as SLUDGE & WATER TANK B located at PAZ/FPSOH/OIL/OWAT /HU-TZ-2721B,Non Structural Tank
 VIE described as Inert gas piping group located at PAZ/FPSOH/COF/INERT/IPN-_IG-HU74-01-_03,Piping
 Overhaul described as OUTLET TO A/B METHANOL BUFFER DRUMS PSV located at PAZ/FPSOT/COF/CHEM /TO-PSV-75073A,Pressure Safety Device
 PAZ/TO-PSVB-9163-Scrap/Replace described as LP SUPPLY SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/TO-PSVB-9163,Pressure Safety Device
 MOORING CHAINS TOPSIDE INSP described as FPSO Mooring System located at PAZ/FPSOH/HSG/STRUC/MOORING,FU Items
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/LOAD /IPN-_HL-TO25-05-D03,Piping
 TANKER CHAFFING CHAIN SB/WEAR MEASUR described as SB MOORING TANKER SIDE located at PAZ/BUOY /OIL/LOAD /SB MOORING TANKER,FU Items
 UTC + VIE described as Tank measuring piping group located at PAZ/FPSOH/HSG/STRUC/IPN-_TM-HU86-01-_03,Piping
 BV tasks & intrusive major inspection described as CENTRAL C.O TK 8C located at PAZ/FPSOH/OIL/STORE/HU-T_-2408,FU Items
 CLASS PSV-Overhaul described as CENTRAL C.O TK  P-V SAFETY VALVE located at PAZ/FPSOH/OIL/STORE/HU-PVSV-24171,Pressure Safety Device
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/GAS/DEHYD/IPN-_HL-TO30-02-H49,Piping
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/OIL/SEP  /IPN-_HG-TO20-01-D70,Piping
 VIE described as MAIN CHILLED WATER UNIT A EVAPORATOR A located at PAZ/FPSOH/CRS/HVAC /HU-EW-0911A,Pressure Vessel (VIE)
 VIE described as P8 CHILLED WAT UNIT CONDENSER COOLING located at PAZ/FPSOT/CRS/HVAC /TO-EL-0920A,Pressure Vessel (VIE)
 VIE described as Desalinated water piping group located at PAZ/FPSOT/WAT/WDEOX/IPN-_RW-TO53-03-B49,Piping
 VIE described as Sea water piping group located at PAZ/FPSOT/WAT/WDEOX/IPN-_SW-TO53-07-B49,Piping
 CLASS PSV-Overhaul described as HC BLANKETING HEADER PVSV located at PAZ/FPSOH/COF/INERT/TO-PVSV-31015A,Pressure Safety Device
 VIE described as METHANOL BUFFER DRUM located at PAZ/FPSOT/COF/CHEM /TO-V_-7511A,Pressure Vessel (VIE)
 UTC + VIE described as Desalinated water piping group located at PAZ/FPSOT/OIL/DRAIN/IPN-_RW-TO28-01-B03,Piping
 UTC + VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/TRANS/IPN-_HG-TO34-05-H03,Piping
 VIE described as Sea water piping group located at PAZ/FPSOT/WAT/WATLF/IPN-_SW-TO50-11-B92,Piping
 VIE described as Hydraulic fluid piping group located at PAZ/FPSOH/CRS/AIR  /IPN-_HH-HU07-03-_50,Piping
 VIE described as ELECTROSTATIC DEHYDRATOR TRAIN A located at PAZ/FPSOT/OIL/STAB /TO-V_-2111A,Pressure Vessel (VIE)
 VIE described as Sea water piping group located at PAZ/FPSOT/WAT/WATLF/IPN-_SW-TO50-08-B92,Piping
 Overhaul described as AIR COMPRESSOR PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/AIR  /TO-PSV-070506A,Pressure Safety Device
 VIE described as O9 PRODUCED WATER HYDROCYCLONE located at PAZ/FPSOT/OIL/OWAT /TO-UF-2712,Pressure Vessel (VIE)
 VIE described as Sea water piping group located at PAZ/FPSOT/WAT/WATLF/IPN-_SW-TO50-06-B92,Piping
 BV Class Intermediate Survey described as PORT WING BALLAST 6P located at PAZ/FPSOH/HSG/STRUC/HU-T_-8611F,FU Items
 BV Class Intermediate Survey described as STARBOARD WING BALLAST 7S located at PAZ/FPSOH/HSG/STRUC/HU-T_-8612G,FU Items
 VIE described as Hydrocarbon gas piping group located at PAZ/FPSOT/GAS/COMP /IPC-_HG-TO31-25-J70N,Piping
 Overhaul described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/AIR  /TO-PSV-07014,Pressure Safety Device
 SCD + VIE described as Fuel gas piping group located at PAZ/FPSOT/COF/FG   /IPC-_FG-TO70-07-D49,Piping
 VIE described as METHANOL BUFFER DRUM located at PAZ/FPSOT/COF/CHEM /TO-V_-7511A,Pressure Vessel (VIE)
 TANKER CHAFFING CHAIN PS/WEAR MEASUR described as PS MOORING TANKER SIDE located at PAZ/BUOY /OIL/LOAD /PS MOORING TANKER,FU Items
 VIE described as MP COMPRESSOR SUCTION SCRUBBER A located at PAZ/FPSOT/GAS/COMP /TO-V_-3140A,Pressure Vessel (VIE)
 VII described as LP COMPRESSOR SUCTION SCRUBBER B located at PAZ/FPSOT/GAS/COMP /TO-V_-3130B,Pressure Vessel (VII)
 UTC + VIE described as Cooling water piping group located at PAZ/FPSOH/COF/COOLW/IPC-_CW-HU76-01-_01,Piping
 VIE described as MAIN CHW UNIT A CONDENSER COOLING A located at PAZ/FPSOH/CRS/HVAC /HU-EL-0911A,Pressure Vessel (VIE)
 VIE described as P8 CHILLED WATER UNIT A EVAPORATOR A located at PAZ/FPSOT/CRS/HVAC /TO-EW-00920A,Pressure Vessel (VIE)
 VIE described as Produced water piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_PW-TO27-03-B03,Piping
 UTC + VIE described as Produced water piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_PW-TO27-09-B03,Piping
 VIE described as Produced water piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_PW-TO27-25-B03,Piping
 VIE described as Produced water piping group located at PAZ/FPSOT/OIL/OWAT /IPN-_PW-TO27-27-D03,Piping
 VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOH/OIL/STAB /IPN-_HL-HU21-10-_03,Piping
 VIE described as Diesel oil piping group located at PAZ/FPSOT/COF/FO   /IPN-_DO-TO71-01-_03,Piping
 MACH SPACE LEVEL4/GVI described as Machinery space level -4 located at PAZ/FPSOH/HSG/STRUC/ MACH SPACE-LEVEL 4,FU Items
 Overhaul described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/OIL/OWAT /TO-PSV1-27066,Pressure Safety Device
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/SDS  /IPC-_HL-TO29-02-H03,Piping
 Replace/Scrap described as A-B INTERFACE THERMAL SAFETY VALVE located at PAZ/FPSOT/OIL/SDS  /TO-TSV-29030,Pressure Safety Device
 VIE described as DEHYDRATION INLET COOLER A HEATER A located at PAZ/FPSOT/GAS/DEHYD/TO-ES-3001A,Pressure Vessel (VIE)
 VIE described as Demineralised water piping group located at PAZ/FPSOT/HSG/UPWAT/IPN-_TW-TO85-02-B49,Piping
 Overhaul described as TO HP WARM FLARE PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/FG   /TO-PSV2-70010,Pressure Safety Device
 UTC + VIE described as Hydrocarbon liquid piping group located at PAZ/FPSOT/OIL/STAB /IPC-_HL-TO21-02-D03,Piping
 Replace/Scrap described as PRESSURE SAFETY VALVE located at PAZ/FPSOH/OIL/OWAT /HU-PSV-279466A,Pressure Safety Device
 Lifting Inspection & test /HU-JZ-7892 described as BOW CRANE located at PAZ/FPSOH/COF/LIFT /HU-JZ-7892,Lifting 
 VIE described as SRU MEMBRANE HOUSING TRAIN 2 located at PAZ/FPSOT/WAT/WDEOX/TO-VZ-5320B,Pressure Vessel (VIE)
 12 Monthly Coupon Survey described as CORROSION MONITORING DEVICES located at PAZ/FPSOT/COF/CORR /TO-CORR_MONIT,Corrosion Monitoring
 BV tasks & intrusive major inspection described as DESALTING TANK 2P located at PAZ/FPSOH/OIL/STAB /HU-T_-2112B,FU Items
 NDT + VIE described as High pressure flare piping group located at PAZ/FPSOT/GAS/FLARE/IPN-_FH-TO36-01-B23,Piping
 CLASS PSV-Overhaul described as DESALTING TANK B P-V SAFETY VALVE located at PAZ/FPSOH/OIL/STAB /HU-PVSV-21070B,Pressure Safety Device
 CLASS PSV-OB-PSSV1-25309 REVISION described as TANK PRESSURE SURGE SAFETY VALVE located at PAZ/BUOY /OIL/LOAD /OB-PSSV1-25309,Pressure Safety Device
 VII described as LLP SEPARATOR TRAIN A located at PAZ/FPSOT/OIL/STAB /TO-V_-2113A,Pressure Vessel (VII)
 VII described as LLP SEPARATOR TRAIN B located at PAZ/FPSOT/OIL/STAB /TO-V_-2113B,Pressure Vessel (VII)
 VII described as ELECTROSTATIC DEHYDRATOR TRAIN B located at PAZ/FPSOT/OIL/STAB /TO-V_-2111B,Pressure Vessel (VII)
 VII described as MAIN TGB FUEL GAS SEPARATOR located at PAZ/FPSOT/ELE/PWG  /TO-VZ-6040B,Pressure Vessel (VII)
 CLASS PSV-Overhaul described as APZP25043-Overhaul located at PAZ/FPSOT/OIL/LOAD /TO-PSSV-25043,Pressure Safety Device
 VIE described as FWD PORT CHAIN JACK CYLINDER B located at PAZ/FPSOH/HSG/STRUC/HU-JX-7847B,Pressure Vessel (VIE)
 COR - CP MONITORING / DROP CELLS described as Hull Anodes located at PAZ/FPSOH/HSG/STRUC/HULL ANODES,Corrosion Monitoring
 Overhaul described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/AIR  /TO-PSV-072502B,Pressure Safety Device
 Overhaul described as PRESSURE SAFETY VALVE located at PAZ/FPSOT/CRS/AIR  /TO-PSV-072501B,Pressure Safety Device
 Overhaul described as ESSENTIAL SW COARSE FILTRAT PSV located at PAZ/FPSOT/WAT/WFLT /TO-PSV1-51002,Pressure Safety Device
 Overhaul described as TO SEAWATER CAISSON PRESS. SAFETY VALVE1 located at PAZ/FPSOT/WAT/WINJ /TO-PSV1-54004,Pressure Safety Device
 Overhaul described as UM WATER INJ. PRESS. SAFETY VALVE 2 located at PAZ/FPSOT/WAT/WINJ /TO-PSV2-54018A,Pressure Safety Device
 Overhaul described as BUFFER DRUMS PRESSURE SAFETY VALVE located at PAZ/FPSOT/COF/CHEM /TO-PSV1-75114E,Pressure Safety Device
 Overhaul described as DRINK WATER CALO PRESSURE SAFETY VALVE located at PAZ/FPSOH/HSG/UPWAT/HU-PSV-852003A,Pressure Safety Device
 APZP3390 Replacement described as P30 B.F PRESSURE SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/SS-PSV-3390,Pressure Safety Device
 APZP3391 Replacement described as P30 B.F PRESSURE SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/SS-PSV-3391,Pressure Safety Device
 Scrap/replace described as LUB OIL STANDBY COOLER TSV located at PAZ/FPSOT/ELE/PWG  /TO-TSV-602585B,Pressure Safety Device
 PSV2389 Replacement described as P20 B.F PRESSURE SAFETY VALVE located at PAZ/FPSOT/EXT/EWELL/SS-PSV-2389,Pressure Safety Device
 Overhaul described as GLYCOL FLASH DRUM PSV 2 located at PAZ/FPSOT/GAS/DEHYD/TO-PSV2-300502,Pressure Safety Device
 Replace/Scrap described as LP FLARE KO PUMP B PRESSURE SAFETY VALVE located at PAZ/FPSOT/GAS/FLARE/TO-PSV-36032B,Pressure Safety Device
